INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,SMA_5,SMA_10,RSI_14,MACD,MACD_Signal
,CHAMBLFERT,27-Jun-24,0.0,XX,405.9,406.9,331.7,354.0,354.0,4036,28662.89,10313200,-562400,4-Jun-24,511.36,460.01000000000005,44.61290865127458,-1148.3234631650553,-608.0118824015319
,CHAMBLFERT,25-Jul-24,0.0,XX,391.45,394.8,354.55,356.35,356.35,163,1160.66,174800,34200,4-Jun-24,560.3199999999999,435.51000000000005,44.61863057157417,-1164.3052580087565,-719.2705575229768
,CHAMBLFERT,29-Aug-24,0.0,XX,403.0,403.0,358.2,358.2,358.2,9,65.16,24700,7600,4-Jun-24,492.62,410.98499999999996,44.62348063535776,-1163.4105929089926,-808.09856460018
,CHOLAFIN,27-Jun-24,0.0,XX,1299.1,1313.0,1201.7,1232.3,1232.3,10611,83273.57,9238750,487500,4-Jun-24,600.2299999999999,472.41499999999996,46.98585955768158,-1079.7226291652,-862.423377513184
,CHOLAFIN,25-Jul-24,0.0,XX,1298.35,1315.25,1210.0,1241.45,1241.45,323,2555.69,38750,-5000,4-Jun-24,708.4599999999999,585.5799999999999,47.01134261181523,-1001.120690287127,-890.1628400679726
,CHOLAFIN,29-Aug-24,0.0,XX,1318.2,1321.0,1252.0,1252.0,1252.75,8,63.97,11250,1250,4-Jun-24,888.0600000000001,699.71,47.04295079833389,-927.2875964050227,-897.5877913353827
,CIPLA,27-Jun-24,0.0,XX,1470.85,1484.7,1426.3,1464.55,1464.55,7171,68184.64,9937850,-134550,4-Jun-24,1109.7,835.01,47.71957742797825,-841.9182197577325,-886.4538770198526
,CIPLA,25-Jul-24,0.0,XX,1478.1,1493.0,1436.05,1473.8,1473.8,209,1995.93,83850,12350,4-Jun-24,1332.8200000000002,912.72,47.75086484574763,-764.7009791393973,-862.1032974437616
,CIPLA,29-Aug-24,0.0,XX,1472.25,1476.0,1453.75,1472.05,1472.05,11,104.93,17550,-1300,4-Jun-24,1380.77,990.5,47.745043278445664,-695.6282011148967,-828.8082781779885
,COALINDIA,27-Jun-24,0.0,XX,512.55,513.0,412.15,442.55,442.55,31035,296640.59,51315600,1176000,4-Jun-24,1220.99,964.725,44.321717373193984,-715.7093214533659,-806.188486833064
,COALINDIA,25-Jul-24,0.0,XX,514.7,514.7,415.4,445.0,445.0,1817,17590.23,1526700,489300,4-Jun-24,1059.59,973.825,44.33194677895506,-723.0907197646638,-789.5689334193839
,COALINDIA,29-Aug-24,0.0,XX,507.85,507.85,415.5,447.1,447.1,192,1870.47,273000,176400,4-Jun-24,856.1,982.9,44.341385971735164,-720.4659951394453,-775.7483457633962
,COFORGE,27-Jun-24,0.0,XX,5080.0,5124.15,4736.1,4977.6,4977.6,7844,58591.29,1817850,-104700,4-Jun-24,1556.8600000000001,1444.84,60.07127836101518,-348.7917408588387,-690.3570247824847
,COFORGE,25-Jul-24,0.0,XX,5106.05,5156.55,4769.65,5020.75,5020.75,486,3661.54,82500,2700,4-Jun-24,2266.6,1823.685,60.18668771843658,-50.176963392735615,-562.3210125045349
,COFORGE,29-Aug-24,0.0,XX,5136.9,5165.5,4835.85,5038.45,5038.45,37,279.56,2850,600,4-Jun-24,3185.78,2203.3849999999998,60.23745768891542,185.764266398573,-412.70395672391334
,COLPAL,27-Jun-24,0.0,XX,2729.65,2829.2,2680.15,2818.95,2818.95,6257,60455.97,2563050,-299950,4-Jun-24,3660.5700000000006,2360.08,51.388169915205275,191.44740351257724,-291.8736846766152
,COLPAL,25-Jul-24,0.0,XX,2720.1,2837.7,2700.8,2831.5,2831.5,193,1874.98,18550,3500,4-Jun-24,4137.45,2496.775,51.43161779431888,194.71940662454517,-194.5550664163831
,COLPAL,29-Aug-24,0.0,XX,2721.1,2805.0,2721.1,2786.95,2858.4,7,68.07,1050,0,4-Jun-24,3699.3199999999997,2628.09,51.25648635858846,191.51007109546572,-117.34203891401334
,CONCOR,27-Jun-24,0.0,XX,1171.0,1174.5,884.85,948.9,948.9,22657,234012.99,8656000,-361000,4-Jun-24,2884.95,2575.775,44.52067441776327,40.18811224965748,-85.83600868127917
,CONCOR,25-Jul-24,0.0,XX,1169.75,1169.75,891.0,957.25,957.25,1598,16692.8,323000,96000,4-Jun-24,2068.71,2627.245,44.55632010618727,-78.16086533323687,-84.3009800116707
,CONCOR,29-Aug-24,0.0,XX,1180.0,1180.0,921.0,962.35,962.35,105,1089.74,47000,25000,4-Jun-24,1697.39,2678.98,44.579741501522925,-169.5868635496554,-101.35815671926764
